2020-12-29 17:18:38.348 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-29 17:18:38.698 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-12-29 17:18:38.763 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-12-29 17:18:38.887 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-12-29 17:18:38.917 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8002"]
2020-12-29 17:18:38.977 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8002 (http) with context path ''
2020-12-29 17:18:41.545 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-12-29 17:18:41.546 [main] INFO  com.kayleh.oss.OssApplication - Started OssApplication in 25.848 seconds (JVM running for 28.826)
2020-12-29 17:18:45.384 [http-nio-8002-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-29 17:18:45.385 [http-nio-8002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-29 17:18:45.391 [http-nio-8002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
